ID,E4.4_mean,E5.5_mean,fold
NM_001164734,113.0110672,444.8133883,2.936016174
NM_001164733,113.0110672,444.8133883,2.936016174
NM_019939,113.0110672,444.8133883,2.936016174
NM_018769,43.60606061,271.2333333,5.220083391
NM_027881,127.8527199,639.9642857,4.005480415
NM_001163645,183.9848628,1105.109406,5.006523522
NM_007808,2.974747475,26.49603175,7.906985205
NR_015581,32.70396825,150.0154762,3.587072585
NR_027892,32.70396825,150.0154762,3.587072585
NM_027564,24.57619048,117.9154762,3.797955823
NM_021892,4,27.07142857,5.767857143
NR_045984,71.14594295,207.8119048,1.920924176
NR_029719,1,0,-1
NR_110455,20.61746032,95.05,3.610170144
NM_010903,33.07997558,149.1630952,3.509165821
NM_182650,4.4,36.61428571,7.321428571
NM_016806,4.4,36.61428571,7.321428571
NR_104468,4.4,36.61428571,7.321428571
NM_007624,12.62781385,74.02064777,4.86171515
NM_001127349,69.91587302,552.5464974,6.903019351
NM_001127348,63.16190476,442.8341958,6.011096284
NM_028035,63.16190476,442.8341958,6.011096284
NM_018773,189.4405303,777.6599657,3.10503478
NR_110440,2,75.39761905,36.69880952
NR_131181,1,2,1
NM_010451,0.166666667,2.533333333,14.2
NR_131182,2.142857143,3.6,0.68
NM_010452,21.98888889,70.75952381,2.217967227
NM_008265,0.333333333,5.166666667,14.5
NR_015611,9.166666667,20.97619048,1.288311688
NM_010453,1,5.80952381,4.80952381
NM_010454,0.166666667,3,17
NM_010455,2,4.083333333,1.041666667
NM_010456,3.833333333,17.01666667,3.439130435
NM_001277238,3.833333333,17.01666667,3.439130435
NR_029912,1,0,-1
NM_001122950,9.452380952,21.2,1.242821159
NM_008263,5,4.2,-0.16
NM_010450,2,2,0
NR_015348,1,5.666666667,4.666666667
NM_008264,1,2,1
NR_110442,3.833333333,9.866666667,1.573913043
NR_110441,3.833333333,9.866666667,1.573913043
NR_038163,6.966666667,16,1.296650718
NM_007966,7.333333333,7.666666667,0.045454545
NR_046049,6.733333333,46.20634921,5.86232909
NM_145567,137.8768652,520.94329,2.778322704
NM_025816,72.65891331,235.1160714,2.235887529
NM_001168277,191.2569986,880.3992679,3.603226416
NM_173406,381.9475386,1695.233273,3.438392977
NR_073371,1,35.16666667,34.16666667
NR_073372,5,41.83333333,7.366666667
NR_015553,83.57753358,525.7714286,5.290822498
NM_001327821,342.0421954,2183.956397,5.385049641
NM_172728,96.84285714,724.0560691,6.476607883
NM_025817,9.333333333,19.66666667,1.107142857
NM_027749,110.9991059,586.5691314,4.284449155
NM_001289714,110.9991059,586.5691314,4.284449155
NM_001289713,110.9991059,586.5691314,4.284449155
NR_110484,34.69480519,220.95,5.368388546
NM_001163640,377.7180916,1427.834199,2.780158353
NM_001311133,45.21369048,220.4238095,3.875156334
NM_001311134,41.21369048,196.9238095,3.778116379
NR_033635,152.5015683,838.5198731,4.498434424
NM_023543,35.21369048,171.9238095,3.882300242
NM_030024,1,14,13
NM_001167861,31.98376623,301.7571429,8.434696985
NM_001167860,31.98376623,301.7571429,8.434696985
NM_027268,34.87063492,331.6964286,8.512199285
NM_153573,24.44761905,98.7020202,3.037285595
NM_001164361,49.91385281,279.5531746,4.600713206
NM_001001335,40.13885281,229.0055556,4.705333847
NM_001289741,8.266017316,101.95,11.3336301
NM_001289740,8.266017316,101.95,11.3336301
NM_199143,46.12521368,283.3513736,5.143090753
NM_172729,41.21031746,294.3368382,6.142309409
NM_001171007,41.21031746,292.6701715,6.101866463
NM_026637,12.75252525,60.94285714,3.778885431
NM_180678,70.14352314,314.002381,3.476569851
NM_001288619,25.32264957,125.1666667,3.942874019
NM_001288620,25.32264957,125.1666667,3.942874019
NM_001288618,33.02264957,176.2,4.335731756
NM_009953,33.02264957,176.2,4.335731756
NM_009349,4.666666667,17.6,2.771428571
NM_177883,119.4309163,431.6793649,2.61446917
NM_001142781,164.2999639,633.2293649,2.854105319
NM_007472,8.166666667,47.83333333,4.857142857
NM_001003685,4.5,30.83333333,5.851851852
NR_046179,2,84.09761905,41.04880952
NM_001025372,74.52878788,246.5055556,2.307521329
NM_007407,74.52878788,246.5055556,2.307521329
NM_009717,4.285714286,13,2.033333333
NR_046071,3.587301587,39.90992063,10.12533186
NM_001081665,79.71371309,458.2951491,4.7492636
NM_011153,2.5,50.08333333,19.03333333
NM_001159953,292.2166435,975.6163754,2.338674908
NM_001159956,280.5499769,940.9497087,2.353946841
NM_001159955,280.5499769,940.9497087,2.353946841
NM_011054,280.5499769,928.0997087,2.30814395
NM_001159960,260.1938032,874.1901849,2.359765583
NM_001159952,260.1938032,874.1901849,2.359765583
NM_001159957,260.1938032,887.0401849,2.409151848
NM_001025568,260.1938032,874.1901849,2.359765583
NM_025520,3.75,0,-1
NM_030235,65.12320261,0,-1
NM_145958,13.40793651,0,-1
NM_012056,35.89755003,0,-1
NM_026004,47.77012987,0,-1
NM_001252374,32.32012987,0,-1
NM_134176,2.833333333,0,-1
NM_134174,2,0,-1
NM_001166710,2.333333333,0,-1
NM_134187,0.666666667,0,-1
NM_053233,0.5,0,-1
NM_053235,1,0,-1
NM_053237,2,0,-1
NM_053236,1,0,-1
NM_175523,48.8773088,0,-1
NM_025992,83.96233277,0,-1
NM_025574,9.533333333,0,-1
NM_133737,28.59285714,0,-1
NM_146168,34.30416667,0,-1
NM_134436,1.666666667,0,-1
NM_053232,2,0,-1
NM_134177,1,0,-1
NM_011920,65.41623405,0,-1
NM_028705,158.6916667,0,-1
NM_021432,5.833333333,0,-1
NM_153574,46.84142857,0,-1
NM_001081145,10.26190476,0,-1
NM_183183,18.61818182,0,-1
