t_name,gene_name,male_10,male_11,male_12,male_13,male_14A,male_14B,male_14C,male_14D,female_10,female_11,female_12,female_13,female_14A,female_14B,female_14C,female_14D,median,stage_p,stage_logP,stage_cor_p,sex_p,sex_logP,sex_beta,stage_beta,sex_cor_p
FBtr0086552,SdhA,4.241811054861223,3.3656214363884014,4.615656353704216,4.5698500197751235,-3.321928094887362,3.0607478029362882,-3.321928094887362,1.252926664314304,4.724573769763388,5.271405655123911,4.690073646299985,3.917481594821165,2.08566667150105,-3.321928094887362,-3.321928094887362,2.5142391863389153,3.2212230038553074,0.005388454767635353,2.268535758394478,0.019927334011869167,0.007336752079411247,2.1344961561825255,-0.2621033989836336,-1.4313567240654832,0.02651079870621094
FBtr0086554,SdhA,3.804111810941588,4.913515174470936,3.6061800791823395,3.2394620478999845,2.83374889600635,-3.321928094887362,-3.321928094887362,1.2400199589822285,4.38096101460611,3.9794119787838245,2.620466767365656,-3.321928094887362,2.0562734543340087,-3.321928094887362,2.532757306892851,-3.321928094887362,2.5772784777823166,0.0060711216107422195,2.2167310676796266,0.02184234353939964,0.007366234892943027,2.132754436569553,0.9236369425485185,-1.3869518682650672,0.0265461845744428
FBtr0086551,cer,2.7522726804160293,1.5679075361792125,-3.321928094887362,2.8116995419025566,3.5954652294975644,3.92071851811988,4.604578432009258,3.843946470127241,-3.321928094887362,-3.321928094887362,2.852779120086744,3.70831174174266,3.8147319024679787,3.516843071837785,3.8232383153117304,4.5739104685665115,3.556689665686889,0.0020724478435138467,2.683516390359912,0.009701083302274328,0.0028552180859754794,2.5443607140666598,0.5160877353907316,1.3209926694134184,0.013234175492491135
FBtr0086540,EloC,6.342348882926205,6.491551621719034,6.837782115132816,6.741704202591728,7.358789024976467,7.678061239837415,7.173262130045041,7.076863632652678,6.331802241929044,7.478333732346072,6.58626935102482,7.148778126041116,6.992011100322495,7.956541853638914,7.317551395256988,6.854818190309966,7.035061104917516,0.005275841001435938,2.277708301306019,0.019628863302534657,0.0065800698364548525,2.181769497050782,-0.12071789262350918,0.20323543509640207,0.02449185025989008
FBtr0086541,EloC,5.054456673935261,5.03559021712994,5.072197788655402,4.859702048557407,6.0283066011266095,5.988710904960344,5.772621999357063,5.908024805253211,4.827883334871323,1.6294242357172124,4.4457392818587405,5.395806754431686,6.171522742720355,6.639682095832773,5.848598154653034,5.813821252699099,5.5964820381721205,0.007252333381192193,2.1395222401137217,0.02510624895989082,0.008465551837198746,2.072344726623103,0.3683916482738787,0.479980707911833,0.029567639081018976
FBtr0086536,betaTub56D,10.81854816430613,11.671822168045985,11.22989470433938,11.224709711099036,11.546866865670165,12.2265887037972,11.973459199377366,12.242963536709361,11.100711995503698,11.36241790890807,10.877396873319489,11.370895771297118,11.419397106788638,12.216221990537884,12.124333196627658,11.865075642878177,11.484539357194324,0.0014672516894612233,2.8334953817474173,0.007433787530193833,0.002096104375124223,2.6785870955375994,0.0748003209354755,0.2285479976054664,0.01044172757833715
FBtr0086464,CG11007,4.56178759062821,4.396796556974587,3.675831735256733,2.515945784997791,0.9773927698985134,-0.4313218682188121,2.9666207590788036,2.5552367525068713,4.557362604096611,4.566638123859589,3.930475642060006,3.1356630780864427,0.32897888887515103,0.7128748285631313,2.4689234245256935,2.703915972957389,2.8412397134729326,0.0001441237296183131,3.8412645077783414,0.0012917145506790122,0.0002466650037402047,3.607892462835527,-0.1483178102376821,-0.8486350038267465,0.002165673473205283
FBtr0345929,CG11007,4.2169807825606425,4.052190411955725,3.3324288185397486,2.176312239651493,0.6506827734493,-0.7259208679874278,2.625158015571619,2.2154201617777627,4.212560934777547,4.2218257431053585,3.586577895343946,2.793647888273815,0.013359346867512379,0.3901063448868931,2.129515807922306,2.363449774954478,2.500230086984795,0.00013596469161251438,3.8665738580175453,0.001235113353190191,0.00023367578393924745,3.6313862916577433,-0.1459739250766413,-0.8437233943047229,0.002072781995103539
FBtr0340598,CR44504,-2.2856920493394104,-3.321928094887362,-1.4951498115696775,-1.1364833220808117,0.18418760344359236,-0.7524442941955928,1.965724082627357,1.8586856541600236,-2.1814635293558235,-1.9710914300764808,-1.3392757892935299,1.3697188459637417,1.1032679987615672,0.6393849928309971,0.8766760639834511,-0.12831876236885575,-0.4068910417901347,7.089172337221754e-05,4.149404465854953,0.0007803494252823021,0.0001001527431650079,3.999337150962413,-0.41899982778585376,0.8833012647362837,0.0011451057082886803
FBtr0086484,hrg,-3.321928094887362,-3.321928094887362,1.8496838730697074,1.0429923631145186,3.3834858847412552,2.4220402695919017,3.948608322577829,2.9248522098265894,-3.321928094887362,-3.321928094887362,1.4309023682104727,2.69139368514175,0.8216016517192629,2.6962914495769574,2.9092637035158018,1.8193800244077056,1.8346115139219166,2.5881923080967753e-06,5.5870034578169445,8.930043930065395e-05,5.117498802485696e-06,5.290942250292016,0.4003537550437562,1.5579261165724803,0.00017772990800729555
FBtr0086336,Toll-7,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.0155608508501355,-3.085000820088553,-2.2088744200862753,-2.2805379063861944,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,-2.6142531230987176,-2.844913989637007,-2.704733068464162,-2.269338308728433,-3.1986062265428274,0.0022574815094837408,2.6463757982069556,0.010359793000277976,0.0032780558216721776,2.484383655146917,-0.019591938435347622,0.19829329541997925,0.014583623343007472
FBtr0086309,18w,-3.321928094887362,-3.321928094887362,-2.5999517954791034,-2.4226673749834573,0.09421579764187324,4.3031851391724105,5.355490293261507,5.57198906687088,-3.321928094887362,-3.321928094887362,-2.9849135459343095,0.7939191818336401,0.9636442779708242,3.4208260909744004,5.521402916344384,5.494104731809026,0.48607743895816335,5.026071439104151e-05,4.298771342765283,0.0006228712705755979,9.164246111755502e-05,4.037903256066872,-0.3633403158141989,2.0595682201232997,0.0010879185037209382
FBtr0086308,PCNA,7.728283280764049,7.778524013154789,7.884705887094333,7.89402093922838,7.932501567260896,8.678181001277887,8.634689738917194,8.585731838106362,7.862793749001427,7.964724559205127,7.249851222113657,7.910494115483234,7.7496127690600956,8.465041066149146,8.600968642390646,8.420980074344858,7.92153980478292,0.009860853450228618,2.0060854955370133,0.03202546409005244,0.011928821332339008,1.9234024661494227,0.11152150850695519,0.17167707057631015,0.03859969845998612
