t_name,gene_name,male_10,male_11,male_12,male_13,male_14A,male_14B,male_14C,male_14D,female_10,female_11,female_12,female_13,female_14A,female_14B,female_14C,female_14D,median,stage_p,stage_logP,stage_cor_p
FBtr0078962,CG12581,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,3.465782266444241,4.839966085647393,6.834118616429973,7.222319196264254,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,4.410834063314177,4.5474543329317525,7.034023731402052,7.175522684946877,2.478781330836325,8.450609073393468e-05,4.073111988366147,0.0008790470525258206
FBtr0078985,CG14641,6.637171899874223,6.5910333293964305,6.890133641075693,6.969027243386225,7.518327138600865,7.748548259025359,7.948051036451706,7.95858710771089,6.4300461980662345,6.690650257444589,6.821103063662963,6.998032050900913,7.3789623083512454,7.438458064971742,7.957328506588612,7.900571073479542,7.201033464368031,2.0276528119357636e-06,5.693006405733512,7.796506102322647e-05
FBtr0078967,abs,4.4932041085081655,4.469152984351715,4.805690844477574,4.852776074487508,5.213606710193964,5.12830944644812,5.381845803160933,5.374848496275026,4.517198390404304,4.611014997279109,4.616802294763157,4.826212522672859,5.049367730683844,5.347314576689378,5.549578522031011,5.3406204812377585,4.954417933206437,1.1968695253504114e-06,5.9219531908707985,5.5184674622832016e-05
FBtr0078958,Vps24,5.4814872430743,6.068599082521016,5.399542283634049,5.149944206632088,5.102932074653323,4.251967017945682,4.073257181086087,4.239094698474847,5.5673170880360985,5.778565394243911,5.667985710083206,5.850764900224013,4.770715105617196,4.424193706063332,3.9167988740372484,4.074388460976574,5.126629626257375,0.00037275166785971734,3.4285804046404906,0.0026467519499387845
FBtr0078955,CG9776,5.8420579778866,5.039816757392873,5.819434927239754,6.168787348639992,5.973714744542142,5.587255764465089,6.201391111227806,5.983516978455998,5.710548392018736,5.0435944698618345,5.534781898305879,5.941417194196884,6.2235712333130735,5.641519354010734,6.239259707916505,6.377928722608986,5.89259278266466,0.015965380011706186,1.7968207398227565,0.04640898347648511
FBtr0078951,hkb,-3.321928094887362,-3.321928094887362,1.3974404631493336,2.4645569242853784,4.6445925841840285,5.561554652004114,5.006472537250458,5.538467268697875,-3.321928094887362,-3.321928094887362,0.8785770432464407,4.046274866743572,4.1629388547628245,6.389426028556469,5.678491662663067,4.450326229379562,4.105785798342876,6.308140979502167e-10,9.200098609265824,4.17938601972709e-07
FBtr0078914,CG11739,4.413380491953035,4.364099486972228,4.658531182829459,4.3359189542105705,3.5751477185067304,2.437445085751551,-3.321928094887362,-3.321928094887362,4.481226856667133,4.2414634476196245,4.459944930011702,4.164340595430851,3.2168101015511272,3.2948128993987225,-3.321928094887362,-3.321928094887362,3.8996155273787343,0.01497927689587596,1.8245091511032225,0.04425952380932406
FBtr0078915,CG11739,4.824940263733695,4.867525910583028,4.97495191801209,4.652056375749045,4.028863495604924,2.749723039205071,-3.321928094887362,-3.321928094887362,4.797499934959921,4.62877167082945,4.776199023795062,4.841984034674723,3.8099665141702954,3.6094552361985417,-3.321928094887362,-3.321928094887362,4.3597775619488495,0.017157590381820676,1.7655437046784335,0.04911210566919956
FBtr0339552,CG9855,3.8146076379515077,3.547533239480539,-3.321928094887362,1.4565070677842529,-3.321928094887362,-3.321928094887362,-1.1493157730930508,-3.321928094887362,2.9286547593794166,0.815692643072882,3.2541495567749092,1.3838889456217367,-0.9740498763915387,-3.321928094887362,-3.321928094887362,-3.321928094887362,-1.0590229362735997,0.00021972155855890928,3.6581273290429355,0.0017853413055357412
FBtr0078950,CG9855,3.97787538175098,3.7105765758203306,-3.321928094887362,1.6152072231722292,-3.321928094887362,-3.321928094887362,-1.0198225756812265,-3.321928094887362,3.0909853328057695,5.008899664933299,3.416892693792747,1.5422961908998696,-0.8405206452576407,-3.321928094887362,-3.321928094887362,-3.321928094887362,-0.9273878869765242,0.0001020523141410576,3.9911771427627403,0.0010022537989702726
FBtr0290222,CG14647,5.517067936465281,4.540604008727667,5.47783625485157,5.0962360422169874,4.688539700470312,3.094036207263234,4.057108403937771,3.5691391247663615,5.386557107741891,5.101012033228312,5.33645253751259,5.478615389457572,4.491532590072379,4.222554200209316,3.7437056057618583,3.45841284747029,4.616467212497689,0.0021130004737208294,2.675100405581705,0.009837444908193245
FBtr0078921,lost,8.950860013391694,8.438596925905369,8.611572367721605,7.714461088288749,6.308581673769951,6.067813644228653,6.411333854014949,6.18920792202414,8.820736973191986,8.561818835631557,8.768103316499662,7.383054881732251,6.2528666767368986,6.0133290165235165,6.232117168918635,6.253671827059012,6.977505430024409,8.124242120649051e-08,7.090217142124081,9.855506673964828e-06
FBtr0078946,srl,6.280990210087173,5.463132233887507,5.325357377683156,4.101754190415126,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,6.168702139915097,5.265592656996296,5.799772345821401,3.598582927214492,-3.321928094887362,-3.321928094887362,-3.321928094887362,1.253026543488157,2.857706060904698,8.151008884138986e-06,5.08878863350575,0.00017818436426164742
FBtr0078944,eIF3-S10,6.6907506313120235,7.1579347681402865,6.959045937118895,7.783049142852799,7.8687749558543665,7.375649006330916,7.370260183784247,7.6536973342151855,6.669156823368698,6.651472207790465,6.7006787002007595,6.841838337851615,7.917407008088449,7.45302398410747,7.563537810099889,7.57614899790921,7.372957111129129,0.00013514272230502687,3.8692073369269293,0.0012304273437771633
FBtr0078938,CG31523,1.173137030089809,1.5110449351298254,0.045859502797889765,0.6847074460538561,2.2466245512737495,3.737727424505119,4.5385332594515795,3.6434609526149715,0.32959322115815254,0.5534312845924585,0.056666758371730123,2.7061722378560256,2.875809742184347,5.1758918946681876,1.222939305189233,4.601756706744148,1.9252163541913,0.002345888555221273,2.6296926235086704,0.010674512684620965
FBtr0078935,CG31523,6.65429067115602,5.239543808423282,5.894006862079325,6.067121704410915,6.0004857232376425,3.5266176076531837,2.5882022792042747,3.3753083385453726,5.846886129854638,5.3385407242626775,5.738594459826998,6.3443296621458405,5.9470840058759755,3.758657943521866,2.706172680001772,2.8396480445615198,5.5523900598416915,0.013286953398567636,1.8765745881972358,0.04043834968970426
FBtr0078928,Fip1,5.688003676385893,6.18097010542878,6.1850554157063975,6.150455593258922,6.589793442966351,6.767890766032354,6.860935418165583,6.974361389803542,5.832428657647978,6.140669590785232,5.771949975562824,6.201802387901705,6.414553529177449,6.764562270294155,6.9277579123330915,6.857830511699425,6.312096154403357,1.6927521368379614e-05,4.771406629300528,0.0002875675375657862
FBtr0078894,CG9775,6.116709979823823,6.6604499364338166,5.9314879822372815,5.472113987046363,7.32202379649537,8.202503322728983,7.751316202394193,8.028267415497732,6.221421644078498,6.280300996682624,5.990755999762486,6.546768284131204,6.334711279585652,8.20776457547764,7.521496397049823,7.521820097365775,6.604728558224426,0.005355866119435886,2.2711702875817856,0.019866526652326133
FBtr0301297,CG9775,-3.321928094887362,-3.321928094887362,4.666028756108705,5.315341208278896,6.400993703448085,4.8280192608565695,2.921356538575733,3.2481716878977984,-3.321928094887362,1.394873536233267,3.8153604430869,5.134445665553551,5.222152141079139,6.273952529795573,2.7650265311796915,2.141444889635707,3.5594618332255994,0.00028616643306615143,3.5433813097415023,0.002167767359717469
FBtr0078892,CG9769,7.920606872441772,8.440796416581762,8.228154864414735,8.169821013445912,8.747428696610035,9.094827755432606,8.87034720367959,8.975741617261857,8.024200868295758,8.664242601114633,8.037616459715135,8.631204792295602,8.557054255089742,9.133391285108742,8.801204389655426,8.522742884386293,8.594605862846262,0.0009212109745299555,3.035640896859119,0.005222496283285944
FBtr0302614,tacc,6.529855889303595,5.268309746886215,5.750058959270639,5.439432383376692,2.622080643775944,-3.321928094887362,-3.321928094887362,-3.321928094887362,6.258659079419859,5.5159889159462745,6.512820279846407,4.1489750101248655,3.334152196652457,-3.321928094887362,-3.321928094887362,-3.321928094887362,3.798340580359623,0.0003198547996663049,3.495047127976115,0.0023606764263289495
FBtr0078868,atms,6.3245401627426086,6.738620412311271,6.639726687836641,6.676933191994964,7.0301595272543835,7.298943353461816,7.2689065402947195,7.326452884659622,6.300033992737979,6.787123319774895,6.568091480911704,6.885735389629915,7.096944259984186,7.189306479059961,7.3176267498959495,7.241113477418475,6.959753941026826,1.3599354723493132e-06,5.8664816980029215,5.976083787420732e-05
FBtr0078837,Gnf1,6.004801180979708,5.1790698143041745,5.384396240019422,4.205818423656266,-3.321928094887362,-3.321928094887362,-3.321928094887362,2.743928092273034,6.214661110711869,5.622371871845619,5.553012168405716,3.928002424413369,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,3.4541782625735222,3.177679971356864e-05,4.497889843337671,0.0004508955122454146
FBtr0078822,CG12163,6.676962124788687,7.142863290887294,7.187884777213661,7.093727288658853,7.556075726341288,7.838809368142,8.010104765587371,8.028503165290685,6.8959398647965955,7.098760860017986,6.8937699013930995,7.251139768326163,7.537309246689794,7.781784478773412,8.000571177247323,8.00777358508488,7.401308390742193,1.1272611093868247e-05,4.9479754759401136,0.00021916704142547902
FBtr0078821,CG12173,4.1237376176907565,3.6291469914618957,3.273188971089143,-3.321928094887362,2.284072847450813,-3.321928094887362,-3.321928094887362,2.971138852847093,4.6697895929587565,3.8415017011710573,3.600436638739433,3.381868639054939,-3.321928094887362,-3.321928094887362,1.9261421623720074,2.3934247127315995,2.7110081627640743,0.008224350733922359,2.084898377123227,0.027735447482879122
FBtr0334276,Hph,4.364758079795027,4.5301090820357155,3.3314409561382554,3.711597323349693,-3.321928094887362,-3.321928094887362,3.15905028032894,2.9873257779973232,4.338958034803479,4.323672412422775,3.376460845802239,-3.321928094887362,-3.321928094887362,-3.321928094887362,3.020327598863572,2.8457750491518183,3.091355661665617,0.015063845833836274,1.8220641376181048,0.04449413723142381
FBtr0344333,Hph,4.0213305642209,4.040965702969295,2.9899920165928835,2.9673514234152574,-3.321928094887362,-3.321928094887362,2.6892266884531284,2.6469174547143415,3.9955643849878855,3.980299642202019,3.0348925242993463,-3.321928094887362,-3.321928094887362,-3.321928094887362,2.6798081803135263,2.5058723879315834,2.6845251203577996,0.012865078228222688,1.8905875686466274,0.03955977107450268
FBtr0334275,Hph,4.944324831014055,3.8018229294085337,4.748724414967501,2.7634823264094055,2.7635860046653558,0.44353663663502146,1.7043886249156244,1.2879024980701834,4.858875089446931,3.148155294446252,5.302803658047637,4.75005225771955,2.3635706020531386,-3.321928094887362,2.1835074758641184,2.5876494210702603,2.7635341664687263,0.006691733713199771,2.1744613494174887,0.023592264622099724
FBtr0344334,CR45033,-0.6389705794668792,-3.321928094887362,-3.321928094887362,-3.321928094887362,-0.9970167079085166,2.5602101674346485,2.8846565262333335,3.6576709850935867,-3.321928094887362,-3.321928094887362,-1.4232244150383413,1.0391931520955877,1.3441615223823742,1.0028544318594228,3.344691746882225,3.1695301298653966,0.4038850310026281,0.0008990683265665073,3.0462073019005755,0.005135063326735628
FBtr0078806,Prosbeta7,7.095195400644287,7.602137086178455,7.473246278531026,7.400846689294102,8.08173726617762,8.403089125786408,8.075803389178237,8.18313540039447,7.11444891348024,7.641645478270149,7.145534421601331,7.689568459443856,7.971542289436636,8.36587637445478,8.159717661394549,7.884206914257585,7.790167610067444,3.982898033105503e-05,4.399800811900104,0.0005269464989564017
FBtr0078805,Prosbeta7,6.851464096621382,7.35834811739576,7.22947023755241,7.157078361905721,7.837909740458557,8.159242007944803,7.831976309097266,7.939301267474572,6.870715128613073,7.3978531610276725,6.901796449095869,7.4457714641361745,7.7277226897109195,8.122031376196025,7.91588517349987,7.640393739468166,7.546361980161699,3.983117761521784e-05,4.399776853414158,0.0005269464989564017
FBtr0078787,RpII18,6.046738210994613,6.0114213016313345,6.339652304496833,6.311821231124062,7.001316027867109,7.516565526639048,7.85829898106001,7.787761664528111,5.947396900279849,6.200097003899408,6.049983818906465,6.711937173558072,6.826023772036595,7.387838354225189,7.537887089064109,7.648151020034487,6.77010790804899,1.4952615176942624e-05,4.825282843621224,0.0002657337397249344
FBtr0100433,CG14667,5.011599132035511,4.180319672341504,4.384752880189618,2.2357172580550144,2.8191196098814144,-3.321928094887362,3.7039140908953536,2.049777120667493,5.083310268139507,4.668884643974502,4.834165450701579,3.6706112717356243,-3.321928094887362,2.7516248209722636,2.466559257620368,3.7619097740618783,3.687358773447674,0.015992303656992096,1.7960889725602724,0.04647156254982217
FBtr0330026,PEK,5.486839364722071,3.0875763853682625,3.9096239315533072,3.8876551074527033,-3.321928094887362,-3.321928094887362,2.1613185518656386,-3.321928094887362,3.5902482181792585,2.813064513171703,5.269717889931825,4.494823334947635,3.4050081332285185,-3.321928094887362,-3.321928094887362,-3.321928094887362,2.956839789761558,0.002945896267998046,2.530782549763992,0.012711926130394374
FBtr0078682,Snr1,7.01222650682918,7.5492525493235405,7.41582100239005,7.40285471222597,7.812823379082645,8.17961860148675,8.068087246964307,8.104992795287538,7.122051416643645,7.6243516624907475,7.210648844872333,7.769789587730546,7.8286101627167195,8.20852399511088,8.109941067795637,7.8824216459293375,7.791466932989995,2.1117512053260183e-05,4.6753572492626185,0.0003337341858985871
FBtr0078767,Hdac3,4.465115446222787,4.422521107182563,4.700888049188694,4.7686034131350095,5.050882128715459,5.394933952320069,4.8081856751672225,4.768270725063341,4.294164527835365,4.422027280851414,4.4051337687422745,5.0079331239171285,5.183058088731202,5.227424450540939,5.159713741482023,4.903072649434702,4.788530288910478,2.7523627697942286e-05,4.5602943253287265,0.000406622650707336
FBtr0344635,CG45100,4.465115446222787,4.309365827116404,4.700888049188694,4.7686034131350095,5.050882128715459,5.22717030683443,4.8081856751672225,4.768270725063341,4.294164527835365,4.422027280851414,4.327744625387658,5.0079331239171285,5.183058088731202,5.227424450540939,5.159713741482023,4.903072649434702,4.788530288910478,1.9600293018686726e-05,4.707737436018651,0.00031852325239612974
FBtr0344273,ksr,2.933035115351473,3.656469827466382,3.757542288584366,3.6810102054140983,2.9524409257268482,1.9626530338770372,1.1708345743262552,2.940962222098078,3.532081146083861,3.5534461531304586,3.596204906226739,3.632138250745716,2.959704880128833,2.373072967297824,2.275641812884484,2.661536873244249,2.9560774746647915,0.017169069205510305,1.7652532488034431,0.04912863557045191
FBtr0078766,ksr,3.5421143922930853,4.268375777285109,4.369717938766789,4.2929834916067025,3.5618371302900855,2.1190410407608695,1.671407515266035,3.5503062306270725,4.143628270198842,4.165057079789324,4.207941018739859,4.243976412945912,3.569134019638045,2.757126963162345,2.8811387325919036,3.233746359952726,3.565490188251688,0.017353128396958694,1.7606222198320887,0.049589414360652034
